,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,1.0,0.4,1.1,38.2,0.2,0.7,33.3,48.5
2,AJ Griffin,ATL,63,29,34,19.4,2.9,1.3,2.5,50.0,0.4,0.8,46.2,57.5
3,Aaron Gordon,DEN,60,41,19,30.1,1.7,0.6,1.6,38.8,0.4,0.9,41.1,50.5
4,Aaron Holiday,ATL,54,28,26,13.6,0.9,0.4,1.0,39.6,0.1,0.3,37.5,45.3
5,Aaron Nesmith,IND,63,27,36,24.7,1.1,0.4,1.1,41.8,0.2,0.5,44.1,53.0
6,Aaron Wiggins,OKC,59,32,27,18.4,0.2,0.1,0.3,33.3,0.1,0.1,50.0,43.3
7,Admiral Schofield,ORL,31,12,19,11.9,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,56,39,17,31.0,0.3,0.1,0.3,50.0,0.1,0.1,75.0,59.4
9,Alec Burks,DET,51,12,39,22.0,4.8,2.0,4.6,42.6,0.9,2.2,39.6,51.9
10,Aleksej Pokusevski,OKC,31,15,16,21.9,0.4,0.2,0.6,27.8,0.0,0.2,20.0,30.6
11,Alex Caruso,CHI,59,27,32,24.0,0.2,0.1,0.4,19.2,0.1,0.2,25.0,25.0
12,Alex Len,SAC,18,12,6,3.2,0.1,0.1,0.1,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,65,14,51,28.5,0.4,0.2,0.5,38.2,0.0,0.1,0.0,38.2
16,Amir Coffey,LAC,45,23,22,13.2,0.5,0.2,0.8,28.6,0.0,0.1,16.7,30.0
17,Andre Drummond,CHI,58,27,31,12.6,0.0,0.0,0.0,50.0,0.0,0.0,-,50.0
18,Andre Iguodala,GSW,8,3,5,14.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
19,Andrew Nembhard,IND,65,29,36,27.1,2.1,0.9,2.7,33.5,0.3,0.9,31.6,38.6
20,Andrew Wiggins,GSW,37,19,18,32.2,2.3,1.1,3.1,33.9,0.2,0.8,24.1,37.0
21,Anfernee Simons,POR,62,27,35,35.0,7.3,2.9,7.4,39.5,1.5,4.1,35.5,49.3
22,Anthony Davis,LAL,46,23,23,33.6,2.3,1.1,2.8,40.0,0.0,0.1,0.0,40.0
23,Anthony Edwards,MIN,71,35,36,36.0,7.4,2.9,8.2,35.3,1.6,4.8,34.3,45.3
24,Anthony Gill,WAS,48,18,30,10.0,0.0,0.0,0.1,14.3,0.0,0.1,0.0,14.3
25,Anthony Lamb,GSW,53,29,24,20.0,0.3,0.1,0.4,26.3,0.1,0.2,30.8,36.8
26,Austin Reaves,LAL,54,27,27,27.8,2.3,1.0,2.2,46.6,0.3,0.7,39.5,53.0
27,Austin Rivers,MIN,52,25,27,19.5,0.2,0.1,0.4,14.3,0.1,0.3,18.8,21.4
28,Ayo Dosunmu,CHI,69,34,35,26.8,0.7,0.3,0.9,38.7,0.0,0.0,33.3,39.5
29,Bam Adebayo,MIA,68,36,32,35.1,2.9,1.5,3.3,44.4,0.0,0.1,0.0,44.4
30,Ben Simmons,BKN,42,24,18,26.3,0.2,0.1,0.4,23.5,0.0,0.0,0.0,23.5
31,Bennedict Mathurin,IND,68,30,38,27.8,2.5,1.0,2.8,34.2,0.6,1.6,35.8,44.0
32,Bismack Biyombo,PHX,51,26,25,13.6,0.0,0.0,0.0,50.0,-,-,-,50.0
33,Blake Griffin,BOS,34,21,13,14.3,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
34,Blake Wesley,SAS,26,6,20,16.6,0.8,0.4,1.6,23.8,0.1,0.2,40.0,26.2
35,Boban Marjanovic,HOU,25,4,21,4.7,0.2,0.1,0.3,37.5,0.0,0.0,-,37.5
36,Bobby Portis,MIL,60,40,20,26.0,1.6,0.8,2.1,37.8,0.0,0.1,14.3,38.2
37,Bogdan Bogdanovic,ATL,45,22,23,28.3,4.1,1.7,4.1,41.3,0.8,1.8,42.0,50.5
38,Bojan Bogdanovic,DET,59,15,44,32.1,5.4,2.4,5.5,43.7,0.6,1.7,32.7,48.8
39,Bol Bol,ORL,67,26,41,21.4,1.3,0.6,1.6,35.5,0.1,0.5,29.4,40.2
40,Bones Hyland,LAC,47,30,17,19.0,3.9,1.4,4.2,33.7,1.0,2.8,36.8,46.2
41,Bradley Beal,WAS,49,24,25,33.5,7.2,3.2,7.3,44.4,0.7,2.2,33.6,49.4
42,Brandon Boston Jr.,LAC,21,8,13,11.7,2.2,1.0,2.4,40.0,0.3,0.7,46.7,47.0
43,Brandon Clarke,MEM,56,32,24,19.5,0.3,0.1,0.2,61.5,0.0,0.0,-,61.5
44,Brandon Ingram,NOP,34,15,19,33.2,7.9,3.8,9.2,41.2,0.4,1.1,33.3,43.1
45,Braxton Key,DET,3,0,3,3.0,0.7,0.3,0.3,100,-,-,-,100
46,Brook Lopez,MIL,69,50,19,30.7,0.9,0.4,1.0,37.5,0.1,0.3,30.4,42.4
47,Bruce Brown,DEN,71,48,23,28.1,1.2,0.6,1.5,36.4,0.1,0.4,26.7,40.0
48,Bruno Fernando,ATL,34,10,24,10.9,0.1,0.0,0.1,50.0,0.0,0.0,-,50.0
49,Bryce McGowens,CHA,37,12,25,14.5,0.1,0.1,0.4,12.5,0.0,0.2,14.3,15.6
50,Bryn Forbes,MIN,25,9,16,10.7,1.1,0.5,1.3,37.5,0.2,0.6,28.6,43.8
51,Buddy Boeheim,DET,6,1,5,10.9,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
52,Buddy Hield,IND,72,32,40,31.7,4.6,1.7,4.0,43.3,1.1,2.5,43.7,57.1
53,CJ McCollum,NOP,64,30,34,35.2,8.5,3.7,8.7,42.2,1.2,3.1,37.3,49.0
54,Cade Cunningham,DET,12,3,9,33.3,8.0,3.7,8.8,41.5,0.7,2.8,24.2,45.3
55,Caleb Houstan,ORL,42,15,27,15.1,0.2,0.1,0.2,42.9,0.0,0.1,50.0,57.1
56,Caleb Martin,MIA,62,33,29,29.8,1.5,0.6,1.4,46.0,0.2,0.5,44.1,54.6
57,Cam Reddish,POR,36,13,23,25.0,1.2,0.4,1.3,35.6,0.3,0.8,35.7,46.7
58,Cam Thomas,BKN,52,28,24,16.6,3.7,1.6,4.2,37.3,0.5,1.5,35.9,43.8
59,Cameron Johnson,BKN,32,19,13,28.0,2.6,1.2,2.5,45.7,0.3,0.7,42.9,51.2
60,Cameron Payne,PHX,39,21,18,21.4,4.1,1.7,3.9,42.2,0.7,1.7,43.1,51.3
61,Caris LeVert,CLE,67,40,27,30.0,2.7,1.1,3.2,33.2,0.6,1.5,36.3,41.7
62,Carlik Jones,CHI,2,1,1,11.4,0.0,0.0,0.5,0.0,0.0,0.0,-,0.0
63,Cedi Osman,CLE,68,42,26,20.6,0.9,0.3,0.9,33.9,0.3,0.7,38.8,49.2
64,Charles Bassey,SAS,35,9,26,14.5,0.4,0.2,0.3,60.0,0.1,0.1,66.7,70.0
65,Chima Moneke,SAC,2,1,1,4.0,0.0,0.0,0.0,-,-,-,-,-
66,Chimezie Metu,SAC,58,36,22,10.9,0.0,0.0,0.1,14.3,0.0,0.1,0.0,14.3
67,Chris Boucher,TOR,66,33,33,19.8,0.3,0.2,0.4,40.0,0.0,0.1,25.0,44.0
68,Chris Duarte,IND,45,19,26,19.8,2.3,0.9,3.1,29.7,0.4,1.6,28.2,37.0
69,Chris Paul,PHX,50,26,24,32.1,7.7,3.5,8.3,41.8,0.8,2.8,29.5,46.7
70,Chris Silva,DAL,1,1,0,3.0,0.0,0.0,0.0,-,-,-,-,-
71,Christian Braun,DEN,66,44,22,14.5,0.3,0.1,0.4,30.8,0.1,0.2,45.5,40.4
72,Christian Koloko,TOR,49,24,25,14.0,0.0,0.0,0.0,-,0.0,0.0,-,-
73,Christian Wood,DAL,59,31,28,26.8,1.0,0.4,1.6,26.6,0.1,0.7,16.3,30.3
74,Chuma Okeke,ORL,22,6,16,18.8,0.5,0.2,0.6,30.8,0.1,0.3,33.3,38.5
75,Clint Capela,ATL,55,29,26,26.6,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
76,Coby White,CHI,63,31,32,22.6,1.4,0.6,1.7,35.2,0.2,0.8,29.2,41.9
77,Cody Martin,CHA,7,2,5,19.1,0.3,0.1,1.4,10.0,0.0,0.7,0.0,10.0
78,Cody Zeller,MIA,10,4,6,13.0,0.0,0.0,0.2,0.0,0.0,0.0,-,0.0
79,Cole Anthony,ORL,52,23,29,25.5,3.3,1.5,3.4,43.3,0.4,1.0,38.0,48.6
80,Cole Swider,LAL,6,1,5,6.7,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0
81,Collin Sexton,UTA,47,24,23,24.0,2.4,1.0,2.1,46.0,0.4,0.9,47.6,56.0
82,Corey Kispert,WAS,63,28,35,27.5,0.4,0.1,0.4,32.1,0.1,0.3,35.3,42.9
83,Cory Joseph,DET,53,11,42,18.3,1.9,0.8,2.1,38.4,0.3,0.9,30.4,44.6
84,D'Angelo Russell,LAL,64,33,31,32.5,6.6,2.7,6.3,42.8,1.2,3.1,38.8,52.5
85,Daishen Nix,HOU,48,12,36,16.7,1.0,0.4,0.9,37.8,0.3,0.8,37.5,54.4
86,Dalano Banton,TOR,27,14,13,9.3,0.4,0.2,1.1,17.2,0.1,0.4,16.7,20.7
87,Dalen Terry,CHI,28,14,14,4.9,0.3,0.1,0.2,60.0,0.1,0.1,66.7,80.0
88,Damian Jones,UTA,31,10,21,9.8,0.0,0.0,0.0,-,0.0,0.0,-,-
89,Damian Lillard,POR,57,26,31,36.4,10.6,3.9,9.8,40.5,2.8,7.4,37.2,54.6
90,Damion Lee,PHX,70,38,32,20.7,0.8,0.4,1.2,32.6,0.0,0.2,13.3,33.7
91,Daniel Gafford,WAS,69,30,39,19.7,0.1,0.0,0.1,60.0,-,-,-,60.0
92,Daniel Theis,IND,7,1,6,15.5,0.0,0.0,0.0,-,0.0,0.0,-,-
93,Danny Green,CLE,9,5,4,9.8,0.6,0.2,0.6,40.0,0.1,0.3,33.3,50.0
94,Danuel House Jr.,PHI,47,32,15,14.2,1.1,0.4,0.9,46.5,0.3,0.7,41.9,61.6
95,Dario Saric,OKC,52,25,27,14.3,0.3,0.1,0.5,29.2,0.0,0.1,20.0,31.3
96,Darius Bazley,PHX,39,18,21,14.9,0.1,0.1,0.3,20.0,0.0,0.0,100,25.0
97,Darius Days,HOU,4,0,4,6.2,0.0,0.0,0.0,-,0.0,0.0,-,-
98,Darius Garland,CLE,62,35,27,35.2,7.6,3.1,7.4,42.3,1.4,3.6,38.5,51.5
99,David Duke Jr.,BKN,18,7,11,9.6,0.1,0.1,0.3,20.0,0.0,0.1,0.0,20.0
100,David Roddy,MEM,59,37,22,16.9,0.5,0.2,0.5,42.9,0.1,0.2,27.3,48.2
101,Davion Mitchell,SAC,70,42,28,17.8,1.3,0.5,1.6,34.9,0.2,0.7,28.0,41.3
102,Davis Bertans,DAL,40,19,21,10.8,0.4,0.2,0.3,54.5,0.1,0.3,50.0,77.3
103,Davon Reed,LAL,40,26,14,8.4,0.6,0.2,0.7,32.1,0.1,0.2,66.7,39.3
104,Day'Ron Sharpe,BKN,37,16,21,11.1,0.1,0.0,0.0,100,0.0,0.0,100,150.0
105,De'Aaron Fox,SAC,64,40,24,34.0,8.3,3.7,8.8,42.2,0.9,2.6,32.5,47.1
106,De'Andre Hunter,ATL,61,33,28,32.0,4.2,2.0,4.0,50.8,0.2,0.5,39.4,53.5
107,De'Anthony Melton,PHI,68,46,22,28.0,1.6,0.6,1.8,33.1,0.4,1.3,32.2,44.8
108,DeAndre Jordan,DEN,35,22,13,14.3,0.0,0.0,0.0,-,0.0,0.0,-,-
109,DeMar DeRozan,CHI,65,33,32,36.8,10.0,4.9,10.3,47.9,0.1,0.3,28.6,48.4
110,Dean Wade,CLE,39,27,12,19.9,0.1,0.1,0.2,28.6,0.0,0.1,50.0,35.7
111,Deandre Ayton,PHX,61,30,31,30.4,1.0,0.5,1.1,45.5,0.0,0.0,100,47.0
112,Dejounte Murray,ATL,66,33,33,36.4,8.6,4.0,8.6,46.3,0.7,1.7,37.4,50.1
113,Delon Wright,WAS,42,23,19,24.0,1.3,0.5,1.2,42.3,0.3,0.7,40.0,53.8
114,Deni Avdija,WAS,69,31,38,25.9,0.3,0.1,0.7,17.0,0.1,0.5,18.8,23.4
115,Dennis Schroder,LAL,58,31,27,30.5,2.8,1.3,3.3,40.6,0.1,0.5,23.3,42.4
116,Dennis Smith Jr.,CHA,51,17,34,25.7,1.1,0.6,2.3,24.8,0.0,0.4,0.0,24.8
117,Deonte Burton,SAC,2,1,1,3.2,0.0,0.0,0.0,-,0.0,0.0,-,-
118,Dereon Seabron,NOP,5,2,3,2.3,0.0,0.0,0.0,-,-,-,-,-
119,Derrick Jones Jr.,CHI,54,24,30,13.6,0.1,0.0,0.1,66.7,0.0,0.0,50.0,83.3
120,Derrick Rose,NYK,27,12,15,12.5,2.1,0.9,2.1,41.4,0.4,1.0,38.5,50.0
121,Derrick White,BOS,72,49,23,28.0,1.8,0.8,1.7,45.5,0.3,0.8,36.1,54.5
122,Desmond Bane,MEM,49,31,18,31.3,6.1,2.4,5.6,43.0,1.4,3.3,40.9,55.3
123,Devin Booker,PHX,44,27,17,34.5,11.6,5.2,11.6,44.6,1.3,3.9,32.2,50.0
124,Devin Vassell,SAS,36,12,24,31.2,5.9,2.7,6.8,39.8,0.5,1.9,26.5,43.5
125,Devon Dotson,WAS,6,1,5,8.9,0.0,0.0,0.5,0.0,0.0,0.0,-,0.0
126,Devonte' Graham,SAS,66,30,36,17.8,2.4,0.9,2.4,36.9,0.6,1.8,34.7,50.3
127,Dewayne Dedmon,PHI,33,20,13,11.0,0.5,0.2,0.3,63.6,0.0,0.0,100,68.2
128,Dillon Brooks,MEM,65,41,24,30.5,4.2,1.8,5.1,35.0,0.6,2.1,29.1,40.9
129,Domantas Sabonis,SAC,69,42,27,34.8,0.3,0.1,0.3,50.0,0.0,0.0,0.0,50.0
130,Dominick Barlow,SAS,17,2,15,11.7,0.1,0.1,0.1,100,0.0,0.0,-,100
131,Donovan Mitchell,CLE,61,39,22,35.5,10.3,4.1,9.6,42.5,2.2,5.7,38.8,54.0
132,Donte DiVincenzo,GSW,63,35,28,26.6,0.6,0.2,1.1,20.9,0.1,0.8,18.8,27.6
133,Dorian Finney-Smith,BKN,57,26,31,31.2,0.3,0.1,0.5,23.1,0.1,0.4,28.6,34.6
134,Doug McDermott,SAS,59,18,41,20.7,1.7,0.7,1.6,41.2,0.3,0.7,45.5,51.5
135,Draymond Green,GSW,64,34,30,31.5,0.1,0.0,0.2,27.3,0.0,0.0,100,31.8
136,Drew Eubanks,POR,69,29,40,19.7,0.2,0.1,0.2,41.2,0.0,0.0,-,41.2
137,Dru Smith,BKN,10,4,6,12.4,1.0,0.5,1.2,41.7,0.0,0.4,0.0,41.7
138,Duane Washington Jr.,NYK,31,17,14,12.7,3.4,1.4,3.5,39.3,0.6,1.5,43.5,48.6
139,Duncan Robinson,MIA,35,16,19,16.5,1.7,0.6,1.6,39.3,0.5,1.2,37.2,53.6
140,Dwight Powell,DAL,67,35,32,19.9,0.0,0.0,0.0,33.3,0.0,0.0,0.0,33.3
141,Dylan Windler,CLE,2,2,0,4.0,0.0,0.0,0.0,-,0.0,0.0,-,-
142,Dyson Daniels,NOP,49,25,24,18.6,0.3,0.1,0.5,28.0,0.1,0.3,23.1,34.0
143,Edmond Sumner,BKN,48,28,20,14.4,0.7,0.3,0.8,38.9,0.1,0.3,30.8,44.4
144,Eric Gordon,LAC,60,19,41,29.3,1.8,0.6,1.8,34.6,0.5,1.4,36.9,49.1
145,Eugene Omoruyi,DET,32,10,22,14.4,0.1,0.0,0.2,14.3,0.0,0.1,25.0,21.4
146,Evan Fournier,NYK,23,13,10,18.0,2.4,1.0,3.0,31.9,0.5,1.9,27.3,40.6
147,Evan Mobley,CLE,71,43,28,34.2,1.2,0.6,1.5,40.8,0.0,0.0,100,41.3
148,Facundo Campazzo,DAL,8,2,6,6.5,0.4,0.1,0.6,20.0,0.1,0.6,20.0,30.0
149,Frank Jackson,UTA,1,0,1,5.1,0.0,0.0,1.0,0.0,0.0,0.0,-,0.0
150,Frank Kaminsky,HOU,33,12,21,6.4,0.1,0.0,0.1,25.0,0.0,0.0,-,25.0
151,Frank Ntilikina,DAL,43,19,24,11.5,0.4,0.2,0.5,42.9,0.0,0.2,12.5,45.2
152,Franz Wagner,ORL,71,28,43,32.9,2.8,1.1,3.3,33.6,0.5,1.9,28.4,41.7
153,Fred VanVleet,TOR,60,29,31,37.0,7.4,2.9,7.6,38.5,1.5,4.5,33.7,48.5
154,Furkan Korkmaz,PHI,29,21,8,9.4,0.8,0.3,0.9,40.0,0.1,0.4,36.4,48.0
155,Gabe Vincent,MIA,59,32,27,26.3,3.1,1.3,3.1,40.5,0.6,1.8,32.1,49.7
156,Garrett Temple,NOP,20,12,8,7.1,0.2,0.1,0.4,14.3,0.1,0.2,25.0,21.4
157,Garrison Mathews,ATL,48,13,35,12.7,0.5,0.2,0.5,32.0,0.2,0.5,34.8,48.0
158,Gary Harris,ORL,41,17,24,25.0,1.1,0.4,1.0,38.1,0.3,0.7,41.4,52.4
159,Gary Payton II,GSW,15,8,7,17.0,0.0,0.0,0.0,-,0.0,0.0,-,-
160,Gary Trent Jr.,TOR,63,30,33,32.6,5.3,2.3,5.9,39.0,0.6,2.2,29.4,44.4
161,George Hill,IND,41,26,15,18.7,0.8,0.4,1.0,38.5,0.1,0.5,19.0,43.6
162,Georges Niang,PHI,68,46,22,19.2,0.4,0.2,0.5,32.4,0.1,0.4,22.2,40.5
163,Giannis Antetokounmpo,MIL,56,42,14,32.5,3.5,1.6,4.9,32.4,0.4,1.5,25.6,36.4
164,Goga Bitadze,ORL,29,9,20,10.4,0.1,0.0,0.1,50.0,0.0,0.1,50.0,75.0
165,Goran Dragic,MIL,51,23,28,15.4,1.7,0.8,2.3,35.3,0.1,0.7,17.1,37.9
166,Gordon Hayward,CHA,47,18,29,31.5,4.3,2.0,4.7,43.2,0.2,0.7,27.3,45.3
167,Gorgui Dieng,SAS,24,2,22,9.8,0.3,0.1,0.8,16.7,0.0,0.6,7.1,19.4
168,Grant Williams,BOS,69,47,22,26.7,1.2,0.4,1.0,40.3,0.3,0.7,46.8,55.6
169,Grayson Allen,MIL,65,48,17,27.8,1.5,0.5,1.6,32.1,0.4,1.3,35.4,45.8
170,Greg Brown III,POR,16,10,6,5.8,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
171,Hamidou Diallo,DET,56,12,44,17.8,1.1,0.5,1.2,42.0,0.0,0.1,50.0,43.5
172,Harrison Barnes,SAC,71,43,28,32.8,1.3,0.5,1.3,40.2,0.3,0.7,41.7,51.1
